throughput,findClus,RawToDigi_kernel,kernelLineFit3,kernelLineFit4,kernel_connect,getHits,kernel_find_ntuplets,fishbone,clusterChargeCut,calibDigis,countModules,kernelFastFit3,kernelFastFit4,kernelFastFit5,kernelLineFit5,kernel_fillHitDetIndices,kernel_mark_used,finalizeBulk,kernel_earlyDuplicateRemover,kernel_countMultiplicity,kernel_fillMultiplicity,kernel_checkOverflows,initDoublets,kernel_classifyTracks,kernel_fishboneCleaner,kernel_fastDuplicateRemover,kernel_countHitInTracks,kernel_fillHitInTracks,kernel_tripletCleaner,kernel_doStatsForHitInTracks,kernel_doStatsForTracks
1174.33,64,256,192,192,128,224,32,224,96,256,96,128,128,96,224,96,160,32,256,64,96,96,160,224,128,192,64,128,160,96,224
1210.58,128,128,64,64,256,64,96,128,192,192,32,256,192,256,160,192,96,96,160,160,32,128,64,224,256,224,64,160,256,160,256
1158.95,256,192,160,192,64,64,96,224,256,160,96,256,160,192,192,256,224,192,224,256,160,64,96,32,192,224,160,32,96,192,64
1224.1,96,128,64,32,128,96,192,64,128,64,192,128,224,128,256,192,224,256,160,128,256,192,160,96,224,96,96,224,128,224,256
1187.57,96,224,128,96,128,192,160,64,160,96,224,128,256,32,96,32,224,160,192,160,96,32,128,192,160,160,96,64,256,64,224
1177.68,224,128,64,128,192,128,64,224,256,96,256,128,64,96,256,256,192,192,128,160,128,32,96,256,192,64,32,256,224,32,256
1145.28,256,96,96,256,256,256,128,128,128,96,32,224,224,32,160,160,160,160,256,64,128,256,64,64,64,96,256,96,160,160,32
1226.53,96,256,160,128,128,64,64,128,160,224,32,160,256,64,192,256,192,128,192,64,224,224,224,192,256,256,64,224,96,160,96
1192.22,96,32,160,256,64,128,64,160,192,32,160,224,96,224,256,256,96,224,32,128,32,192,224,64,128,256,96,224,224,224,32
1215.74,128,32,96,32,64,128,32,224,160,64,160,64,32,64,160,224,128,96,160,160,256,64,192,96,32,224,192,64,64,32,32
1197.9,128,96,64,224,256,64,160,224,192,160,96,224,128,64,128,224,160,96,160,64,96,128,128,224,160,96,128,96,256,256,96
1192.44,192,224,96,224,192,64,192,192,96,224,64,64,256,32,256,160,128,224,128,96,160,128,64,192,96,160,256,224,224,64,256
1205.54,160,192,128,192,128,128,192,64,160,256,224,128,256,128,192,224,128,160,256,64,160,32,192,96,32,96,160,32,64,256,192
1170.03,160,64,192,64,256,192,256,256,64,192,96,128,192,64,224,128,256,192,224,192,224,224,128,256,64,64,128,224,32,192,160
1221.41,192,128,128,128,128,32,32,128,96,96,32,32,64,128,224,192,64,256,160,64,192,128,192,192,32,256,96,160,160,256,160
1144.22,256,32,160,128,192,256,96,256,64,160,96,32,192,128,224,96,96,192,224,192,224,256,64,160,96,224,64,224,224,32,192
1156.82,224,160,224,128,128,32,160,32,64,224,160,160,128,64,256,128,64,160,160,96,32,192,256,32,160,160,128,128,128,64,160
1198.49,64,192,64,64,192,96,128,32,32,224,192,256,32,96,32,96,32,256,96,128,256,64,192,160,224,192,256,256,192,64,192
1206.07,128,128,64,96,192,96,224,128,160,224,96,256,32,192,224,64,64,32,64,128,160,160,128,256,224,192,64,160,128,64,256
1176.64,64,256,224,32,64,128,224,128,256,256,160,160,128,160,192,192,96,256,96,64,96,256,224,32,64,128,128,256,128,32,256
1199.7,96,64,64,32,256,32,32,64,256,256,32,128,128,128,128,224,128,160,128,32,64,32,256,64,192,32,64,64,224,224,224
1171.44,192,256,224,32,192,224,32,96,96,192,64,128,96,32,192,128,96,256,160,128,128,160,96,32,224,64,96,256,32,160,64
1204.03,192,128,32,128,256,32,32,64,32,224,224,96,96,256,32,256,32,64,192,256,224,224,160,96,32,32,32,96,224,128,32
1143.64,256,96,128,128,192,192,192,96,160,224,256,128,128,160,256,160,192,96,256,256,160,192,32,192,192,192,32,224,192,32,256
1187.69,64,192,256,128,64,64,224,192,32,192,192,64,96,64,96,256,224,64,224,96,32,96,128,224,192,128,224,64,96,224,32
1124.57,256,192,192,96,192,224,192,128,32,160,256,192,128,128,128,32,192,32,96,64,224,96,32,192,32,128,160,96,96,64,224
1224.17,128,256,96,64,128,160,32,96,64,128,128,224,128,32,192,192,64,128,256,64,64,224,160,128,224,192,160,160,64,160,192
1148.02,192,256,96,128,192,224,32,224,256,192,256,96,256,160,192,256,192,128,256,256,192,256,192,224,32,32,256,192,224,128,224
1193.0,128,224,160,192,64,96,192,256,32,32,32,64,192,192,64,128,128,256,224,256,128,160,224,96,96,96,256,256,64,224,256
1207.56,128,192,192,96,128,32,64,96,192,192,256,32,64,160,96,32,224,32,224,256,128,256,128,128,192,96,160,256,256,256,256
1145.62,192,32,160,64,64,160,224,32,96,224,64,160,128,256,256,64,32,96,160,64,192,224,224,192,256,96,160,224,128,128,32
1076.53,224,32,96,192,256,256,224,32,256,128,96,224,224,224,64,224,32,160,224,224,160,64,96,192,256,32,256,128,128,256,128
